parent_id,sequence,alt,pos,att1,att2,att3,att4,att5,att6,att7,att8,choice
10018,4,2,2,3,2,3,4,3,4,2,1,0
10018,5,1,1,1,1,1,2,3,2,1,2,1
10018,5,2,2,6,1,4,1,1,1,3,3,0
10018,6,1,1,5,5,5,4,1,4,3,1,0
10018,6,2,2,2,5,2,2,3,3,1,3,1
10018,7,1,1,2,4,3,2,3,2,1,2,1
10018,7,2,2,5,2,3,1,4,4,3,2,0
10018,8,1,1,2,2,4,1,4,1,2,3,1
10018,8,2,2,5,3,3,1,2,4,3,2,0
10021,1,1,1,4,4,2,2,3,3,2,3,1
10021,1,2,2,3,2,3,4,3,4,2,1,0
10021,2,1,1,2,1,5,3,3,3,1,1,0
10021,2,2,2,2,5,5,2,4,2,3,1,1
10021,3,1,1,1,3,3,2,2,2,1,3,0
10021,3,2,2,4,5,3,2,3,4,1,1,1
10021,4,1,1,5,4,3,2,3,2,1,2,0
10021,4,2,2,5,2,3,1,4,4,3,2,1
10021,5,1,1,5,5,5,4,1,4,3,1,0
10021,5,2,2,2,5,2,2,3,3,1,3,1
10021,6,1,1,1,1,1,2,3,2,1,2,0
10021,6,2,2,6,1,4,1,1,1,3,3,1
10021,7,1,1,6,5,5,1,4,2,1,3,1
10021,7,2,2,6,4,1,1,1,3,3,1,0
10021,8,1,1,2,2,4,1,4,1,2,3,1
10021,8,2,2,5,3,3,1,2,4,3,2,0
10022,1,1,1,2,1,4,3,2,2,3,2,0
10022,1,2,2,1,5,5,2,2,3,1,1,1
10022,2,1,1,2,2,2,3,3,2,2,1,0
10022,2,2,2,5,5,1,1,3,4,3,2,1
10022,3,1,1,6,4,2,3,2,3,3,3,0
10022,3,2,2,3,3,3,2,3,2,1,1,1
10022,4,1,1,4,3,1,4,4,3,3,1,0
10022,4,2,2,6,5,5,3,1,2,2,2,1
10022,5,1,1,1,5,3,2,3,2,3,2,1
10022,5,2,2,5,2,1,2,3,4,1,2,0
10022,6,1,1,6,3,3,2,3,4,2,2,0
10022,6,2,2,3,4,2,4,1,1,2,3,1
10022,7,1,1,5,4,4,4,3,2,2,1,1
10022,7,2,2,2,3,3,2,2,3,1,3,0
10022,8,1,1,2,4,2,3,1,2,1,2,1
10022,8,2,2,3,1,4,2,4,2,2,1,0
10023,1,1,1,1,1,4,1,4,4,1,1,1
10023,1,2,2,5,3,1,1,1,1,2,3,0
10023,2,1,1,4,3,4,3,1,4,2,2,1
10023,2,2,2,6,2,2,4,4,1,2,2,0
10023,3,1,1,4,2,3,3,2,2,2,1,1
10023,3,2,2,3,5,4,1,2,3,3,3,0
10023,4,1,1,3,1,4,2,3,2,2,3,1
10023,4,2,2,2,5,5,4,2,3,2,1,0
10023,5,1,1,5,4,2,3,2,3,3,3,0
10023,5,2,2,1,4,3,2,3,3,1,2,1
10023,6,1,1,5,1,2,1,4,4,3,3,0
10023,6,2,2,3,2,1,1,1,1,1,1,1
10023,7,1,1,4,2,5,1,1,4,3,3,1
10023,7,2,2,3,5,1,3,1,1,2,1,0
10023,8,1,1,1,4,5,1,1,3,3,2,1
10023,8,2,2,5,5,1,1,4,1,1,1,0
10024,1,1,1,4,4,2,4,2,2,3,1,0
10024,1,2,2,5,3,5,1,2,1,1,1,1
10024,2,1,1,5,5,1,3,2,3,2,1,0
10024,2,2,2,3,3,4,3,3,1,2,3,1
10024,3,1,1,1,1,1,3,3,3,2,2,1
10024,3,2,2,2,5,1,3,1,2,2,3,0
10024,4,1,1,5,4,4,2,1,2,1,3,1
10024,4,2,2,3,4,1,3,2,3,3,2,0
10024,5,1,1,6,3,2,4,3,4,3,1,0
10024,5,2,2,2,4,3,2,2,3,2,2,1
10024,6,1,1,4,3,4,1,2,3,3,3,0
10024,6,2,2,2,3,4,1,4,2,1,1,1
10024,7,1,1,6,4,4,3,1,3,2,2,0
10024,7,2,2,5,1,1,2,2,3,2,3,1
10024,8,1,1,2,2,1,1,1,3,1,2,0
10024,8,2,2,2,5,3,4,1,2,1,1,1
10025,1,1,1,6,4,5,3,4,1,1,3,1
10025,1,2,2,3,3,2,4,1,4,3,1,0
10025,2,1,1,3,2,3,4,3,1,2,1,1
10025,2,2,2,4,4,2,2,4,2,1,1,0
10025,3,1,1,2,2,3,1,1,1,3,3,0
10025,3,2,2,6,3,2,1,4,4,2,1,1
10025,4,1,1,1,4,5,4,2,4,2,3,1
10025,4,2,2,4,2,2,4,2,1,2,1,0
10025,5,1,1,5,3,3,4,3,4,1,2,0
10025,5,2,2,3,1,3,1,2,1,1,1,1
10025,6,1,1,3,4,2,2,4,1,1,3,1
10025,6,2,2,3,5,4,2,2,2,3,1,0
10025,7,1,1,2,5,1,3,4,2,2,3,0
10025,7,2,2,5,4,5,1,2,3,2,3,1
10025,8,1,1,5,5,3,4,1,3,3,1,1
10025,8,2,2,2,2,4,1,2,2,3,1,0
10026,1,1,1,3,4,5,4,3,3,2,3,0
10026,1,2,2,5,3,2,1,4,2,2,3,1
10026,2,1,1,1,2,3,4,4,1,3,1,1
10026,2,2,2,5,4,5,3,2,4,3,3,0
10026,3,1,1,6,4,4,4,2,3,1,2,1
10026,3,2,2,4,1,2,2,2,3,1,3,0
10026,4,1,1,4,5,5,3,3,4,2,1,1
10026,4,2,2,5,2,2,3,2,3,2,3,0
10026,5,1,1,6,3,1,4,1,2,1,2,0
10026,5,2,2,3,4,4,4,4,3,3,1,1
10026,6,1,1,2,2,3,4,1,4,3,2,0
10026,6,2,2,5,3,2,1,2,4,3,2,1
10026,7,1,1,1,2,2,1,1,1,1,3,0
10026,7,2,2,3,4,3,4,1,2,3,3,1
10026,8,1,1,4,3,4,4,2,1,3,3,1
10026,8,2,2,3,2,2,1,1,3,1,3,0
10027,1,1,1,6,5,5,3,1,1,1,1,1
10027,1,2,2,2,2,2,3,1,4,1,3,0
10027,2,1,1,3,4,5,2,2,2,2,1,1
10027,2,2,2,6,3,3,4,1,1,1,3,0
10027,3,1,1,4,3,1,2,4,2,3,1,0
10027,3,2,2,6,2,4,2,3,4,1,3,1
10027,4,1,1,3,4,4,4,2,2,1,1,0
10027,4,2,2,1,1,2,3,3,4,2,3,1
10027,5,1,1,6,5,5,3,2,1,1,1,1
10027,5,2,2,4,1,4,2,2,3,2,3,0
10027,6,1,1,1,1,2,1,2,4,3,2,0
10027,6,2,2,3,4,4,4,3,4,2,2,1
10027,7,1,1,5,4,4,4,3,2,2,1,1
10027,7,2,2,4,2,2,3,2,4,3,3,0
10027,8,1,1,3,3,3,4,1,4,2,2,1
10027,8,2,2,3,2,5,1,3,2,3,2,0
10028,1,1,1,1,1,2,1,4,1,3,3,1
10028,1,2,2,3,5,1,4,4,1,3,1,0
10028,2,1,1,2,2,4,3,1,4,3,2,0
10028,2,2,2,2,2,3,4,3,1,1,1,1
10028,3,1,1,1,2,3,4,3,1,3,1,1
10028,3,2,2,2,4,1,3,2,3,3,3,0
10028,4,1,1,6,2,5,2,3,3,1,2,1
10028,4,2,2,1,5,4,2,1,4,1,2,0
10028,5,1,1,3,4,2,1,3,1,2,2,1
10028,5,2,2,5,3,4,3,3,4,2,1,0
10028,6,1,1,1,5,3,4,1,4,3,1,0
10028,6,2,2,6,5,3,4,3,1,1,3,1
10028,7,1,1,5,2,1,2,2,2,1,2,0
10028,7,2,2,1,1,5,3,4,4,3,1,1
10028,8,1,1,4,2,2,3,3,3,3,2,1
10028,8,2,2,3,1,5,2,3,2,1,1,0
10031,1,1,1,1,4,4,3,2,1,2,1,1
10031,1,2,2,4,4,1,3,4,3,1,2,0
10031,2,1,1,2,2,2,3,1,3,2,1,0
10031,2,2,2,6,3,3,2,4,1,2,3,1
10031,3,1,1,6,4,2,2,1,3,1,3,0
10031,3,2,2,6,3,3,3,4,2,3,2,1
10031,4,1,1,6,4,2,4,1,4,3,1,1
10031,4,2,2,5,2,2,3,4,1,1,2,0
10031,5,1,1,5,3,1,1,4,1,2,3,0
10031,5,2,2,1,1,5,4,1,1,1,3,1
10031,6,1,1,5,1,5,1,1,1,1,3,1
10031,6,2,2,5,5,3,1,3,4,3,1,0
10031,7,1,1,3,3,4,1,4,1,2,1,0
10031,7,2,2,3,5,3,3,2,2,2,3,1
10031,8,1,1,3,3,3,4,3,4,2,3,1
10031,8,2,2,3,2,4,1,4,2,2,1,0
10033,1,1,1,2,3,4,4,2,4,1,2,0
10033,1,2,2,5,3,4,1,1,4,2,1,1
10033,2,1,1,1,1,2,4,4,4,1,2,1
10033,2,2,2,6,5,4,3,2,1,1,2,0
10033,3,1,1,2,1,1,1,2,4,3,1,0
10033,3,2,2,3,2,5,2,3,2,2,3,1
10033,4,1,1,4,5,1,3,2,3,1,2,0
10033,4,2,2,4,3,5,3,2,1,3,1,1
10033,5,1,1,4,1,4,3,4,3,1,2,1
10033,5,2,2,5,3,2,1,2,1,2,1,0
10033,6,1,1,3,1,5,2,4,2,2,1,0
10033,6,2,2,2,5,5,3,4,1,3,3,1
10033,7,1,1,5,2,3,2,4,1,1,1,1
10033,7,2,2,3,5,5,4,3,3,2,1,0
10033,8,1,1,6,4,4,3,1,3,1,2,1
10033,8,2,2,2,3,3,3,3,2,3,2,0
10034,1,1,1,4,1,4,2,2,4,3,3,1
10034,1,2,2,6,1,1,1,4,1,1,2,0
10034,2,1,1,3,4,2,3,2,1,2,1,0
10034,2,2,2,1,5,5,3,1,4,3,2,1
10034,3,1,1,2,1,2,1,4,4,1,1,0
10034,3,2,2,6,1,5,2,2,2,3,3,1
10034,4,1,1,3,3,2,1,2,2,1,3,0
10034,4,2,2,5,4,5,3,1,2,2,1,1
10034,5,1,1,6,1,1,2,1,4,3,3,0
10034,5,2,2,4,1,5,2,3,2,2,1,1
10034,6,1,1,3,3,5,2,3,3,2,2,1
10034,6,2,2,1,4,1,4,2,1,2,3,0
10034,7,1,1,6,1,5,2,2,2,3,2,1
10034,7,2,2,4,1,1,3,4,3,1,3,0
10034,8,1,1,5,3,3,2,3,2,2,2,1
10034,8,2,2,3,2,3,1,2,3,2,3,0
10048,1,1,1,1,2,2,2,1,3,3,2,0
10048,1,2,2,6,4,4,2,3,3,1,2,1
10048,2,1,1,5,2,5,2,2,2,2,3,1
10048,2,2,2,1,3,2,4,2,3,1,1,0
10048,3,1,1,4,5,2,3,2,3,3,1,0
10048,3,2,2,1,4,2,4,4,4,2,3,1
10048,4,1,1,6,1,1,3,1,3,3,2,0
10048,4,2,2,1,1,5,3,4,2,2,3,1
10048,5,1,1,2,5,2,2,4,4,1,2,1
10048,5,2,2,3,4,5,1,1,1,3,2,0
10048,6,1,1,2,3,2,4,2,1,2,3,0
10048,6,2,2,4,3,4,3,2,4,1,1,1
10048,7,1,1,4,2,4,1,2,4,3,3,1
10048,7,2,2,3,2,1,4,4,2,3,3,0
10048,8,1,1,5,2,3,1,3,1,3,1,0
10048,8,2,2,1,5,1,2,3,4,1,2,1
10049,1,1,1,5,1,3,4,3,1,1,3,0
10049,1,2,2,5,5,3,1,4,4,1,2,1
10049,2,1,1,2,1,3,2,1,2,3,3,0
10049,2,2,2,3,5,5,3,2,2,1,1,1
10049,3,1,1,1,4,4,4,2,1,3,1,1
10049,3,2,2,6,1,1,1,1,1,3,2,0
10049,4,1,1,5,5,3,1,1,4,1,2,0
10049,4,2,2,1,5,5,1,4,1,3,2,1
10049,5,1,1,2,1,3,3,3,3,3,1,1
10049,5,2,2,2,2,1,4,1,1,2,2,0
10049,6,1,1,5,2,5,1,1,4,1,1,0
10049,6,2,2,4,4,2,1,4,2,2,3,1
10049,7,1,1,2,5,5,4,1,1,1,1,1
10049,7,2,2,2,4,1,3,3,4,1,3,0
10049,8,1,1,1,4,4,4,3,1,1,1,1
10049,8,2,2,4,3,2,2,2,1,3,2,0
10051,1,1,1,5,5,2,3,2,3,3,1,1
10051,1,2,2,1,4,2,4,4,4,2,3,0
10051,2,1,1,5,2,5,2,2,2,2,3,1
10051,2,2,2,1,3,2,4,2,3,1,1,0
10051,3,1,1,5,1,1,3,1,3,3,2,1
10051,3,2,2,1,1,5,3,4,2,2,3,0
10051,4,1,1,5,2,3,1,3,1,3,1,1
10051,4,2,2,1,5,1,2,3,4,1,2,0
10051,5,1,1,1,5,2,2,4,4,1,2,1
10051,5,2,2,3,4,5,1,1,1,3,2,0
10051,6,1,1,4,2,4,1,2,4,3,3,1
10051,6,2,2,3,2,1,4,4,2,3,3,0
10051,7,1,1,1,2,2,2,1,3,3,2,0
10051,7,2,2,6,4,4,2,3,3,1,2,1
10051,8,1,1,2,3,2,4,2,1,2,3,0
10051,8,2,2,4,3,4,3,2,4,1,1,1
10052,1,1,1,5,2,1,3,1,3,1,2,0
10052,1,2,2,2,2,5,2,4,3,3,2,1
10052,2,1,1,1,1,1,3,3,1,3,1,0
10052,2,2,2,1,4,3,4,2,4,1,3,1
10052,3,1,1,3,1,4,4,1,1,3,3,1
10052,3,2,2,4,1,1,3,4,4,1,2,0
10052,4,1,1,5,5,1,1,1,1,1,3,0
10052,4,2,2,4,1,2,4,1,3,2,3,1
10052,5,1,1,1,5,5,1,2,4,3,3,1
10052,5,2,2,1,5,1,3,3,2,1,2,0
10052,6,1,1,1,5,1,2,1,3,1,1,0
10052,6,2,2,1,5,4,1,4,2,3,3,1
10052,7,1,1,3,3,3,4,3,4,1,1,0
10052,7,2,2,6,5,2,4,1,2,3,2,1
10052,8,1,1,6,3,3,1,3,4,3,1,1
10052,8,2,2,4,3,4,2,2,2,2,3,0
10056,1,1,1,1,4,5,1,1,3,3,2,1
10056,1,2,2,5,5,1,1,4,1,1,1,0
10056,2,1,1,4,2,3,3,2,2,2,1,0
10056,2,2,2,3,5,4,1,2,3,3,3,1
10056,3,1,1,1,1,4,1,4,4,1,1,1
10056,3,2,2,5,3,1,1,1,1,2,3,0
10056,4,1,1,1,1,2,1,4,4,3,3,1
10056,4,2,2,3,2,1,1,1,1,1,1,0
10056,5,1,1,3,1,4,2,3,2,2,3,0
10056,5,2,2,2,5,5,4,2,3,2,1,1
10056,6,1,1,4,2,5,1,1,4,3,3,0
10056,6,2,2,3,5,1,3,1,1,2,1,1
10056,7,1,1,4,3,4,3,1,4,2,2,1
10056,7,2,2,6,2,2,4,4,1,2,2,0
10056,8,1,1,5,4,2,3,2,3,3,3,0
10056,8,2,2,1,4,3,2,3,3,1,2,1
10057,1,1,1,6,4,4,4,2,3,1,2,1
10057,1,2,2,4,1,2,2,2,3,1,3,0
10057,2,1,1,1,2,2,1,1,1,1,3,0
10057,2,2,2,3,4,3,4,1,2,3,3,1
10057,3,1,1,4,3,4,4,2,1,3,3,1
10057,3,2,2,1,2,2,1,1,3,1,3,0
10057,4,1,1,1,2,3,4,4,1,3,1,0
10057,4,2,2,6,4,5,3,2,4,3,3,1
10057,5,1,1,4,5,5,3,3,4,2,1,1
10057,5,2,2,5,2,2,3,2,3,2,3,0
10057,6,1,1,2,2,3,4,1,4,3,2,1
10057,6,2,2,5,3,2,1,2,4,3,2,0
10057,7,1,1,6,3,1,4,1,2,1,2,0
10057,7,2,2,3,4,4,4,4,3,3,1,1
10057,8,1,1,3,4,5,4,3,3,2,3,1
10057,8,2,2,5,3,2,1,4,2,2,3,0
10058,1,1,1,2,2,4,3,1,4,3,2,0
10058,1,2,2,2,2,3,4,3,1,1,1,1
10058,2,1,1,4,2,2,3,3,3,3,2,1
10058,2,2,2,3,1,5,2,3,2,1,1,0
10058,3,1,1,6,2,5,2,3,3,1,2,0
10058,3,2,2,1,5,4,2,1,4,1,2,1
10058,4,1,1,3,4,2,1,3,1,2,2,0
10058,4,2,2,5,3,4,3,3,4,2,1,1
10058,5,1,1,1,1,2,1,4,1,3,3,0
10058,5,2,2,1,5,1,4,4,1,3,1,1
10058,6,1,1,1,2,3,4,3,1,3,1,1
10058,6,2,2,4,4,1,3,2,3,3,3,0
10058,7,1,1,1,5,3,4,1,4,3,1,0
10058,7,2,2,6,5,3,4,3,1,1,3,1
10058,8,1,1,5,2,1,2,2,2,1,2,0
10058,8,2,2,1,1,5,3,4,4,3,1,1
10060,1,1,1,6,5,5,4,1,1,1,1,1
10060,1,2,2,2,4,1,3,3,4,1,3,0
10060,2,1,1,5,1,3,4,3,1,1,3,0
10060,2,2,2,5,5,3,1,4,4,1,2,1
10060,3,1,1,5,2,5,1,1,4,1,1,1
10060,3,2,2,4,4,2,1,4,2,2,3,0
10060,4,1,1,1,4,4,4,2,1,3,1,1
10060,4,2,2,6,1,1,1,1,1,3,2,0
10060,5,1,1,1,4,4,4,3,1,1,1,1
10060,5,2,2,4,3,2,2,2,1,3,2,0
10060,6,1,1,1,1,3,2,1,2,3,3,1
10060,6,2,2,3,5,5,3,2,2,1,1,0
10060,7,1,1,4,1,3,3,3,3,3,1,1
10060,7,2,2,2,2,1,4,1,1,2,2,0
10060,8,1,1,2,5,3,1,1,4,1,2,0
10060,8,2,2,1,5,5,1,4,1,3,2,1
10061,1,1,1,1,1,4,1,4,4,1,1,1
10061,1,2,2,5,3,1,1,1,1,2,3,0
10061,2,1,1,5,4,2,3,2,3,3,3,0
10061,2,2,2,1,4,3,2,3,3,1,2,1
10061,3,1,1,1,4,5,1,1,3,3,2,1
10061,3,2,2,5,5,1,1,4,1,1,1,0
10061,4,1,1,4,2,3,3,2,2,2,1,0
10061,4,2,2,3,5,4,1,2,3,3,3,1
10061,5,1,1,1,1,2,1,4,4,3,3,0
10061,5,2,2,3,2,1,1,1,1,1,1,1
10061,6,1,1,4,2,5,1,1,4,3,3,0
10061,6,2,2,3,5,1,3,1,1,2,1,1
10061,7,1,1,3,1,4,2,3,2,2,3,1
10061,7,2,2,2,5,5,4,2,3,2,1,0
10061,8,1,1,4,3,4,3,1,4,2,2,1
10061,8,2,2,6,2,2,4,4,1,2,2,0
10062,1,1,1,2,2,2,3,1,3,2,1,0
10062,1,2,2,6,3,3,2,4,1,2,3,1
10062,2,1,1,4,1,5,1,1,1,1,3,0
10062,2,2,2,5,5,3,1,3,4,3,1,1
10062,3,1,1,1,4,4,3,2,1,2,1,1
10062,3,2,2,4,4,1,3,4,3,1,2,0
10062,4,1,1,6,4,2,2,1,3,1,3,0
10062,4,2,2,6,3,3,3,4,2,3,2,1
10062,5,1,1,3,3,3,4,3,4,2,3,0
10062,5,2,2,3,2,4,1,4,2,2,1,1
10062,6,1,1,5,3,1,1,4,1,2,3,0
10062,6,2,2,1,1,5,4,1,1,1,3,1
10062,7,1,1,3,3,4,1,4,1,2,1,1
10062,7,2,2,4,5,3,3,2,2,2,3,0
10062,8,1,1,6,4,2,4,1,4,3,1,1
10062,8,2,2,5,2,2,3,4,1,1,2,0
10065,1,1,1,1,3,3,2,2,2,1,3,0
10065,1,2,2,2,5,3,2,3,4,1,1,1
10065,2,1,1,5,5,5,4,1,4,3,1,1
10065,2,2,2,2,5,2,2,3,3,1,3,0
10065,3,1,1,3,4,3,2,3,2,1,2,0
10065,3,2,2,5,2,3,1,4,4,3,2,1
10065,4,1,1,2,1,5,3,3,3,1,1,0
10065,4,2,2,2,5,5,2,4,2,3,1,1
10065,5,1,1,6,5,5,1,4,2,1,3,1
10065,5,2,2,6,4,1,1,1,3,3,1,0
10065,6,1,1,2,2,4,1,4,1,2,3,1
10065,6,2,2,5,3,3,1,2,4,3,2,0
10065,7,1,1,4,4,2,2,3,3,2,3,0
10065,7,2,2,3,2,3,4,3,4,2,1,1
10065,8,1,1,1,1,1,2,3,2,1,2,0
10065,8,2,2,6,1,4,1,1,1,3,3,1
10066,1,1,1,1,5,1,2,1,3,1,1,0
10066,1,2,2,6,5,4,1,4,2,3,3,1
10066,2,1,1,1,1,1,3,3,1,3,1,0
