parent_id,sequence,alt,pos,att1,att2,att3,att4,att5,att6,att7,att8,choice
10007,1,1,1,1,5,5,1,4,1,1,1,1
10007,1,2,2,3,2,3,1,3,3,3,2,0
10007,2,1,1,3,4,2,3,4,2,3,1,1
10007,2,2,2,4,2,2,3,2,3,3,2,0
10007,3,1,1,3,3,3,3,2,2,2,3,1
10007,3,2,2,4,2,3,2,2,4,2,2,0
10007,4,1,1,3,3,3,2,3,1,2,2,1
10007,4,2,2,5,4,3,4,3,4,2,1,0
10007,5,1,1,6,3,3,2,1,2,3,2,0
10007,5,2,2,1,1,3,3,4,4,1,2,1
10007,6,1,1,1,4,4,3,3,2,3,2,0
10007,6,2,2,6,1,5,2,3,3,3,1,1
10007,7,1,1,6,3,3,4,4,4,3,3,1
10007,7,2,2,4,3,2,4,1,2,1,1,0
10007,8,1,1,2,2,5,2,2,2,2,3,1
10007,8,2,2,2,4,1,1,3,3,3,2,0
10008,1,1,1,5,4,4,2,1,2,1,3,1
10008,1,2,2,3,4,1,3,2,3,3,2,0
10008,2,1,1,4,4,2,4,2,2,3,1,0
10008,2,2,2,5,3,5,1,2,1,1,1,1
10008,3,1,1,4,3,4,1,2,3,3,3,0
10008,3,2,2,2,3,4,1,4,2,1,1,1
10008,4,1,1,2,2,1,1,1,3,1,2,0
10008,4,2,2,2,5,3,4,1,2,1,1,1
10008,5,1,1,1,1,1,3,3,3,2,2,0
10008,5,2,2,2,5,1,3,1,2,2,3,1
10008,6,1,1,5,5,1,3,2,3,2,1,0
10008,6,2,2,3,3,4,3,3,1,2,3,1
10008,7,1,1,2,4,4,3,1,3,2,2,1
10008,7,2,2,5,1,1,2,2,3,2,3,0
10008,8,1,1,6,3,2,4,3,4,3,1,0
10008,8,2,2,2,4,3,2,2,3,2,2,1
10010,1,1,1,5,4,1,3,4,1,2,1,1
10010,1,2,2,4,5,2,3,1,3,2,3,0
10010,2,1,1,5,4,4,2,2,2,2,1,0
10010,2,2,2,3,2,3,2,2,3,2,2,1
10010,3,1,1,2,5,5,1,2,2,1,2,0
10010,3,2,2,4,3,1,3,3,2,3,2,1
10010,4,1,1,1,1,5,1,1,4,1,2,0
10010,4,2,2,5,3,3,4,2,3,1,1,1
10010,5,1,1,2,1,5,4,4,3,3,3,1
10010,5,2,2,2,1,1,4,1,3,1,2,0
10010,6,1,1,6,3,2,2,4,3,1,1,1
10010,6,2,2,3,5,2,1,1,2,3,3,0
10010,7,1,1,5,4,4,2,3,1,2,2,1
10010,7,2,2,1,1,2,3,2,3,3,3,0
10010,8,1,1,6,5,2,3,4,3,2,3,0
10010,8,2,2,6,1,3,2,4,4,3,2,1
10011,1,1,1,1,4,2,2,4,1,3,3,1
10011,1,2,2,1,1,1,1,1,3,3,1,0
10011,2,1,1,2,1,2,3,4,2,1,2,1
10011,2,2,2,1,2,2,2,3,3,2,3,0
10011,3,1,1,4,3,4,1,2,1,2,1,1
10011,3,2,2,6,4,2,3,4,2,2,1,0
10011,4,1,1,3,3,5,1,3,3,2,3,1
10011,4,2,2,1,5,4,2,1,2,1,1,0
10011,5,1,1,4,2,4,2,4,3,2,2,1
10011,5,2,2,2,2,3,2,2,1,2,1,0
10011,6,1,1,6,4,4,4,4,4,1,3,1
10011,6,2,2,2,4,2,3,1,1,2,3,0
10011,7,1,1,5,2,4,2,2,1,2,2,0
10011,7,2,2,6,4,3,4,1,4,1,3,1
10011,8,1,1,2,2,3,3,2,2,2,3,0
10011,8,2,2,5,3,4,4,4,4,2,1,1
10012,1,1,1,4,4,3,2,4,4,1,3,1
10012,1,2,2,5,3,3,2,1,2,3,2,0
10012,2,1,1,1,2,4,4,3,2,1,2,0
10012,2,2,2,2,1,5,2,1,4,3,3,1
10012,3,1,1,6,1,1,4,3,1,1,2,0
10012,3,2,2,4,1,5,4,3,4,3,1,1
10012,4,1,1,4,1,5,2,3,1,2,2,0
10012,4,2,2,1,5,5,1,4,3,1,3,1
10012,5,1,1,6,2,5,1,4,2,2,1,1
10012,5,2,2,1,2,1,2,3,3,2,3,0
10012,6,1,1,2,5,1,2,1,4,3,3,1
10012,6,2,2,1,1,1,2,1,2,1,2,0
10012,7,1,1,2,5,2,2,1,3,3,1,0
10012,7,2,2,5,3,4,3,3,2,2,3,1
10012,8,1,1,3,5,5,3,2,4,3,2,1
10012,8,2,2,6,1,4,2,2,1,3,1,0
10013,1,1,1,6,5,2,2,4,4,1,2,0
10013,1,2,2,3,4,5,1,1,1,3,2,1
10013,2,1,1,1,2,2,2,1,3,3,2,0
10013,2,2,2,6,4,4,2,3,3,1,2,1
10013,3,1,1,4,2,4,1,2,4,3,3,0
10013,3,2,2,3,2,1,4,4,2,3,3,1
10013,4,1,1,5,2,5,2,2,2,2,3,0
10013,4,2,2,1,3,2,4,2,3,1,1,1
10013,5,1,1,6,5,2,3,2,3,3,1,1
10013,5,2,2,1,4,2,4,4,4,2,3,0
10013,6,1,1,2,3,2,4,2,1,2,3,1
10013,6,2,2,4,3,4,3,2,4,1,1,0
10013,7,1,1,5,2,3,1,3,1,3,1,0
10013,7,2,2,1,5,1,2,3,4,1,2,1
10013,8,1,1,1,1,1,3,1,3,3,2,0
10013,8,2,2,1,1,5,3,4,2,2,3,1
10015,1,1,1,6,5,5,3,1,1,1,1,1
10015,1,2,2,2,2,2,3,1,4,1,3,0
10015,2,1,1,3,4,4,4,2,2,1,1,1
10015,2,2,2,1,1,2,3,3,4,2,3,0
10015,3,1,1,3,3,3,4,1,4,2,2,1
10015,3,2,2,3,2,5,1,3,2,3,2,0
10015,4,1,1,4,3,1,2,4,2,3,1,1
10015,4,2,2,6,2,4,2,3,4,1,3,0
10015,5,1,1,5,4,4,4,3,2,2,1,1
10015,5,2,2,4,2,2,3,2,4,3,3,0
10015,6,1,1,3,4,5,2,2,2,2,1,1
10015,6,2,2,6,3,3,4,1,1,1,3,0
10015,7,1,1,1,1,2,1,2,4,3,2,0
10015,7,2,2,3,4,4,4,3,4,2,2,1
10015,8,1,1,6,5,5,3,2,1,1,1,1
10015,8,2,2,4,1,4,2,2,3,2,3,0
10016,1,1,1,1,1,4,4,1,1,3,3,1
10016,1,2,2,4,1,1,3,4,4,1,2,0
10016,2,1,1,5,5,1,1,1,1,1,3,0
10016,2,2,2,4,1,2,4,1,3,2,3,1
10016,3,1,1,6,3,3,1,3,4,3,1,1
10016,3,2,2,4,3,4,2,2,2,2,3,0
10016,4,1,1,1,5,1,2,1,3,1,1,0
10016,4,2,2,6,5,4,1,4,2,3,3,1
10016,5,1,1,3,3,3,4,3,4,1,1,1
10016,5,2,2,6,5,2,4,1,2,3,2,0
10016,6,1,1,1,5,5,1,2,4,3,3,1
10016,6,2,2,6,5,1,3,3,2,1,2,0
10016,7,1,1,5,2,1,3,1,3,1,2,0
10016,7,2,2,2,2,5,2,4,3,3,2,1
10016,8,1,1,1,1,1,3,3,1,3,1,0
10016,8,2,2,1,4,3,4,2,4,1,3,1
10017,1,1,1,1,5,2,1,4,2,3,1,0
10017,1,2,2,3,1,4,3,3,2,3,1,1
10017,2,1,1,1,5,3,2,3,4,3,1,0
10017,2,2,2,3,4,5,3,2,2,1,2,1
10017,3,1,1,2,4,1,1,3,3,1,1,0
10017,3,2,2,5,2,4,1,2,1,3,3,1
10017,4,1,1,1,5,1,2,1,3,3,2,0
10017,4,2,2,4,5,4,1,4,2,1,1,1
10017,5,1,1,3,5,1,3,1,3,2,2,0
10017,5,2,2,2,2,4,2,3,2,2,2,1
10017,6,1,1,3,3,3,4,4,4,1,3,1
10017,6,2,2,4,2,1,4,3,1,3,1,0
10017,7,1,1,6,4,2,4,4,4,1,3,1
10017,7,2,2,2,4,5,1,1,3,1,3,0
10017,8,1,1,4,4,3,1,1,3,3,2,0
10017,8,2,2,4,4,3,2,4,1,2,1,1
10018,1,1,1,6,5,5,1,4,2,1,3,1
10018,1,2,2,6,4,1,1,1,3,3,1,0
10018,2,1,1,2,1,5,3,3,3,1,1,0
10018,2,2,2,2,5,5,2,4,2,3,1,1
10018,3,1,1,1,3,3,2,2,2,1,3,0
10018,3,2,2,1,5,3,2,3,4,1,1,1
10018,4,1,1,4,4,2,2,3,3,2,3,1
